+------------------------------------------+---------------+
| Variable_name                            | Value         |
| Slave_retried_transactions               | 0             |
| Slave_running                            | OFF           |
| Slow_launch_threads                      | 1             |
| Slow_queries                             | 842           |
| Sort_merge_passes                        | 2381          |
| Sort_range                               | 42074691      |
| Sort_rows                                | 698478511     |
| Sort_scan                                | 778685        |
| Ssl_accept_renegotiates                  | 0             |
| Ssl_accepts                              | 0             |
| Ssl_callback_cache_hits                  | 0             |
| Ssl_cipher                               |               |
| Ssl_cipher_list                          |               |
| Ssl_client_connects                      | 0             |
| Ssl_connect_renegotiates                 | 0             |
| Ssl_ctx_verify_depth                     | 0             |
| Ssl_ctx_verify_mode                      | 0             |
| Ssl_default_timeout                      | 0             |
| Ssl_finished_accepts                     | 0             |
| Ssl_finished_connects                    | 0             |
| Ssl_session_cache_hits                   | 0             |
| Ssl_session_cache_misses                 | 0             |
| Ssl_session_cache_mode                   | NONE          |
| Ssl_session_cache_overflows              | 0             |
| Ssl_session_cache_size                   | 0             |
| Ssl_session_cache_timeouts               | 0             |
| Ssl_sessions_reused                      | 0             |
| Ssl_used_session_cache_entries           | 0             |
| Ssl_verify_depth                         | 0             |
| Ssl_verify_mode                          | 0             |
| Ssl_version                              |               |
| Table_locks_immediate                    | 517440612     |
| Table_locks_waited                       | 2899530       |
| Tc_log_max_pages_used                    | 0             |
| Tc_log_page_size                         | 0             |
| Tc_log_page_waits                        | 0             |
| Threads_cached                           | 25            |
| Threads_connected                        | 422           |
| Threads_created                          | 4024          |
| Threads_running                          | 5             |
| Uptime                                   | 5391400       |
| Uptime_since_flush_status                | 5391400       |
| binlog_commits                           | 7951049       |
| binlog_group_commits                     | 7950756       |
+------------------------------------------+---------------+
